application_date,segment,branch_id,state,zone,no_of_applicants
01-04-2017,1,101,UTTAR PRADESH,EAST,0
01-04-2017,1,103,BIHAR,EAST,6
01-04-2017,1,104,JHARKHAND,SOUTH,4
01-04-2017,1,105,GUJARAT,WEST,0
01-04-2017,1,111,ANDHRA PRADESH,SOUTH,0
01-04-2017,1,117,MAHARASHTRA,WEST,0
01-04-2017,1,120,TRIPURA,EAST,2
01-04-2017,1,121,KARNATAKA,SOUTH,0
01-04-2017,1,135,MAHARASHTRA,WEST,17
01-04-2017,1,136,TAMIL NADU,SOUTH,1
01-04-2017,1,137,MAHARASHTRA,WEST,5
01-04-2017,1,147,MADHYA PRADESH,CENTRAL,7
01-04-2017,1,159,BIHAR,EAST,0
01-04-2017,1,165,ORISSA,EAST,4
01-04-2017,1,202,UTTARAKHAND,EAST,0
01-04-2017,1,207,GUJARAT,WEST,0
01-04-2017,1,217,BIHAR,EAST,0
01-04-2017,1,248,MAHARASHTRA,WEST,0
01-04-2017,1,249,MAHARASHTRA,WEST,0
01-04-2017,1,250,GUJARAT,WEST,0
01-04-2017,1,251,TRIPURA,EAST,0
01-04-2017,1,254,ASSAM,EAST,0
01-04-2017,1,255,ASSAM,EAST,0
01-04-2017,1,257,GUJARAT,WEST,0
01-04-2017,1,258,HARYANA,NORTH,0
01-04-2017,1,259,HARYANA,NORTH,0
01-04-2017,1,260,TAMIL NADU,SOUTH,0
01-04-2017,1,261,HARYANA,NORTH,0
01-04-2017,1,262,UTTAR PRADESH,EAST,0
01-04-2017,1,263,ANDHRA PRADESH,SOUTH,0
01-04-2017,1,264,PUNJAB,NORTH,0
01-04-2017,1,265,ANDHRA PRADESH,SOUTH,0
01-04-2017,1,266,TELANGANA,SOUTH,0
01-04-2017,1,267,ANDHRA PRADESH,SOUTH,0
01-04-2017,1,268,UTTAR PRADESH,EAST,0
01-04-2017,1,269,UTTAR PRADESH,EAST,0
01-04-2017,1,270,UTTAR PRADESH,EAST,0
01-04-2017,1,271,HARYANA,NORTH,0
03-04-2017,1,1,WEST BENGAL,EAST,5
03-04-2017,1,3,DELHI,NORTH,13
03-04-2017,1,5,KARNATAKA,SOUTH,1
03-04-2017,1,7,WEST BENGAL,EAST,0
03-04-2017,1,8,WEST BENGAL,EAST,0
03-04-2017,1,9,WEST BENGAL,EAST,1
03-04-2017,1,10,WEST BENGAL,EAST,0
03-04-2017,1,11,WEST BENGAL,EAST,1
03-04-2017,1,13,TAMIL NADU,SOUTH,0
03-04-2017,1,14,UTTAR PRADESH,EAST,0
03-04-2017,1,15,PUNJAB,NORTH,1
03-04-2017,1,16,TELANGANA,SOUTH,0
03-04-2017,1,17,ANDHRA PRADESH,SOUTH,0
03-04-2017,1,18,MAHARASHTRA,WEST,0
03-04-2017,1,19,MAHARASHTRA,WEST,7
03-04-2017,1,20,ORISSA,SOUTH,1
03-04-2017,1,21,MAHARASHTRA,WEST,0
03-04-2017,1,29,WEST BENGAL,EAST,0
03-04-2017,1,34,GUJARAT,WEST,0
03-04-2017,1,35,TAMIL NADU,SOUTH,0
03-04-2017,1,36,ASSAM,EAST,0
03-04-2017,1,42,WEST BENGAL,EAST,1
03-04-2017,1,43,TAMIL NADU,SOUTH,0
03-04-2017,1,48,ORISSA,SOUTH,0
03-04-2017,1,61,GUJARAT,WEST,0
03-04-2017,1,62,PUNJAB,NORTH,0
03-04-2017,1,63,JHARKHAND,SOUTH,0
03-04-2017,1,64,KARNATAKA,SOUTH,0
03-04-2017,1,65,ASSAM,EAST,1
03-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
03-04-2017,1,67,GUJARAT,WEST,0
03-04-2017,1,68,GUJARAT,WEST,0
03-04-2017,1,69,TAMIL NADU,SOUTH,0
03-04-2017,1,70,MAHARASHTRA,WEST,0
03-04-2017,1,72,PUNJAB,NORTH,1
03-04-2017,1,73,PUNJAB,NORTH,1
03-04-2017,1,74,MAHARASHTRA,WEST,0
03-04-2017,1,76,TAMIL NADU,SOUTH,0
03-04-2017,1,77,MAHARASHTRA,WEST,0
03-04-2017,1,78,MAHARASHTRA,WEST,0
03-04-2017,1,79,UTTARAKHAND,EAST,1
03-04-2017,1,82,KERALA,SOUTH,0
03-04-2017,1,84,CHHATTISGARH,CENTRAL,0
03-04-2017,1,85,MAHARASHTRA,WEST,0
03-04-2017,1,100,UTTAR PRADESH,EAST,0
03-04-2017,1,101,UTTAR PRADESH,EAST,0
03-04-2017,1,103,BIHAR,EAST,0
03-04-2017,1,104,JHARKHAND,SOUTH,0
03-04-2017,1,105,GUJARAT,WEST,0
03-04-2017,1,111,ANDHRA PRADESH,SOUTH,0
03-04-2017,1,117,MAHARASHTRA,WEST,0
03-04-2017,1,120,TRIPURA,EAST,0
03-04-2017,1,121,KARNATAKA,SOUTH,0
03-04-2017,1,135,MAHARASHTRA,WEST,5
03-04-2017,1,136,TAMIL NADU,SOUTH,0
03-04-2017,1,137,MAHARASHTRA,WEST,0
03-04-2017,1,147,MADHYA PRADESH,CENTRAL,2
03-04-2017,1,159,BIHAR,EAST,0
03-04-2017,1,165,ORISSA,EAST,0
03-04-2017,1,202,UTTARAKHAND,EAST,0
03-04-2017,1,207,GUJARAT,WEST,0
03-04-2017,1,217,BIHAR,EAST,0
03-04-2017,1,248,MAHARASHTRA,WEST,0
03-04-2017,1,249,MAHARASHTRA,WEST,0
03-04-2017,1,250,GUJARAT,WEST,0
03-04-2017,1,251,TRIPURA,EAST,0
03-04-2017,1,254,ASSAM,EAST,0
03-04-2017,1,255,ASSAM,EAST,0
03-04-2017,1,257,GUJARAT,WEST,0
03-04-2017,1,258,HARYANA,NORTH,0
03-04-2017,1,259,HARYANA,NORTH,0
03-04-2017,1,260,TAMIL NADU,SOUTH,0
03-04-2017,1,261,HARYANA,NORTH,0
03-04-2017,1,262,UTTAR PRADESH,EAST,0
03-04-2017,1,263,ANDHRA PRADESH,SOUTH,0
03-04-2017,1,264,PUNJAB,NORTH,0
03-04-2017,1,265,ANDHRA PRADESH,SOUTH,0
03-04-2017,1,266,TELANGANA,SOUTH,0
03-04-2017,1,267,ANDHRA PRADESH,SOUTH,0
03-04-2017,1,268,UTTAR PRADESH,EAST,0
03-04-2017,1,269,UTTAR PRADESH,EAST,0
03-04-2017,1,270,UTTAR PRADESH,EAST,0
03-04-2017,1,271,HARYANA,NORTH,0
04-04-2017,1,1,WEST BENGAL,EAST,4
04-04-2017,1,3,DELHI,NORTH,6
04-04-2017,1,5,KARNATAKA,SOUTH,1
04-04-2017,1,7,WEST BENGAL,EAST,0
04-04-2017,1,8,WEST BENGAL,EAST,0
04-04-2017,1,9,WEST BENGAL,EAST,0
04-04-2017,1,10,WEST BENGAL,EAST,0
04-04-2017,1,11,WEST BENGAL,EAST,0
04-04-2017,1,13,TAMIL NADU,SOUTH,0
04-04-2017,1,14,UTTAR PRADESH,EAST,0
04-04-2017,1,15,PUNJAB,NORTH,0
04-04-2017,1,16,TELANGANA,SOUTH,0
04-04-2017,1,17,ANDHRA PRADESH,SOUTH,0
04-04-2017,1,18,MAHARASHTRA,WEST,0
04-04-2017,1,19,MAHARASHTRA,WEST,3
04-04-2017,1,20,ORISSA,SOUTH,0
04-04-2017,1,21,MAHARASHTRA,WEST,0
04-04-2017,1,29,WEST BENGAL,EAST,2
04-04-2017,1,34,GUJARAT,WEST,0
04-04-2017,1,35,TAMIL NADU,SOUTH,0
04-04-2017,1,36,ASSAM,EAST,0
04-04-2017,1,42,WEST BENGAL,EAST,1
04-04-2017,1,43,TAMIL NADU,SOUTH,0
04-04-2017,1,48,ORISSA,SOUTH,0
04-04-2017,1,61,GUJARAT,WEST,0
04-04-2017,1,62,PUNJAB,NORTH,0
04-04-2017,1,63,JHARKHAND,SOUTH,0
04-04-2017,1,64,KARNATAKA,SOUTH,0
04-04-2017,1,65,ASSAM,EAST,0
04-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
04-04-2017,1,67,GUJARAT,WEST,0
04-04-2017,1,68,GUJARAT,WEST,0
04-04-2017,1,69,TAMIL NADU,SOUTH,0
04-04-2017,1,70,MAHARASHTRA,WEST,0
04-04-2017,1,72,PUNJAB,NORTH,0
04-04-2017,1,73,PUNJAB,NORTH,0
04-04-2017,1,74,MAHARASHTRA,WEST,0
04-04-2017,1,76,TAMIL NADU,SOUTH,0
04-04-2017,1,77,MAHARASHTRA,WEST,0
04-04-2017,1,78,MAHARASHTRA,WEST,0
04-04-2017,1,79,UTTARAKHAND,EAST,0
04-04-2017,1,82,KERALA,SOUTH,0
04-04-2017,1,84,CHHATTISGARH,CENTRAL,0
04-04-2017,1,85,MAHARASHTRA,WEST,0
04-04-2017,1,100,UTTAR PRADESH,EAST,0
04-04-2017,1,101,UTTAR PRADESH,EAST,0
04-04-2017,1,103,BIHAR,EAST,0
04-04-2017,1,104,JHARKHAND,SOUTH,0
04-04-2017,1,105,GUJARAT,WEST,0
04-04-2017,1,111,ANDHRA PRADESH,SOUTH,0
04-04-2017,1,117,MAHARASHTRA,WEST,0
04-04-2017,1,120,TRIPURA,EAST,0
04-04-2017,1,121,KARNATAKA,SOUTH,0
04-04-2017,1,135,MAHARASHTRA,WEST,4
04-04-2017,1,136,TAMIL NADU,SOUTH,0
04-04-2017,1,137,MAHARASHTRA,WEST,1
04-04-2017,1,147,MADHYA PRADESH,CENTRAL,1
04-04-2017,1,159,BIHAR,EAST,0
04-04-2017,1,165,ORISSA,EAST,0
04-04-2017,1,202,UTTARAKHAND,EAST,0
04-04-2017,1,207,GUJARAT,WEST,0
04-04-2017,1,217,BIHAR,EAST,0
04-04-2017,1,248,MAHARASHTRA,WEST,0
04-04-2017,1,249,MAHARASHTRA,WEST,0
04-04-2017,1,250,GUJARAT,WEST,0
04-04-2017,1,251,TRIPURA,EAST,0
04-04-2017,1,254,ASSAM,EAST,0
04-04-2017,1,255,ASSAM,EAST,0
04-04-2017,1,257,GUJARAT,WEST,0
04-04-2017,1,258,HARYANA,NORTH,0
04-04-2017,1,259,HARYANA,NORTH,0
04-04-2017,1,260,TAMIL NADU,SOUTH,0
04-04-2017,1,261,HARYANA,NORTH,0
04-04-2017,1,262,UTTAR PRADESH,EAST,0
04-04-2017,1,263,ANDHRA PRADESH,SOUTH,0
04-04-2017,1,264,PUNJAB,NORTH,0
04-04-2017,1,265,ANDHRA PRADESH,SOUTH,0
04-04-2017,1,266,TELANGANA,SOUTH,0
04-04-2017,1,267,ANDHRA PRADESH,SOUTH,0
04-04-2017,1,268,UTTAR PRADESH,EAST,0
04-04-2017,1,269,UTTAR PRADESH,EAST,0
04-04-2017,1,270,UTTAR PRADESH,EAST,0
04-04-2017,1,271,HARYANA,NORTH,0
05-04-2017,1,1,WEST BENGAL,EAST,113
05-04-2017,1,3,DELHI,NORTH,74
05-04-2017,1,5,KARNATAKA,SOUTH,113
05-04-2017,1,7,WEST BENGAL,EAST,19
05-04-2017,1,8,WEST BENGAL,EAST,10
05-04-2017,1,9,WEST BENGAL,EAST,22
05-04-2017,1,10,WEST BENGAL,EAST,46
05-04-2017,1,11,WEST BENGAL,EAST,23
05-04-2017,1,13,TAMIL NADU,SOUTH,15
05-04-2017,1,14,UTTAR PRADESH,EAST,0
05-04-2017,1,15,PUNJAB,NORTH,17
05-04-2017,1,16,TELANGANA,SOUTH,85
05-04-2017,1,17,ANDHRA PRADESH,SOUTH,9
05-04-2017,1,18,MAHARASHTRA,WEST,34
05-04-2017,1,19,MAHARASHTRA,WEST,73
05-04-2017,1,20,ORISSA,SOUTH,47
05-04-2017,1,21,MAHARASHTRA,WEST,0
05-04-2017,1,29,WEST BENGAL,EAST,7
05-04-2017,1,34,GUJARAT,WEST,105
05-04-2017,1,35,TAMIL NADU,SOUTH,0
05-04-2017,1,36,ASSAM,EAST,37
05-04-2017,1,42,WEST BENGAL,EAST,30
05-04-2017,1,43,TAMIL NADU,SOUTH,0
05-04-2017,1,48,ORISSA,SOUTH,47
05-04-2017,1,61,GUJARAT,WEST,29
05-04-2017,1,62,PUNJAB,NORTH,8
05-04-2017,1,63,JHARKHAND,SOUTH,7
05-04-2017,1,64,KARNATAKA,SOUTH,14
05-04-2017,1,65,ASSAM,EAST,54
05-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
05-04-2017,1,67,GUJARAT,WEST,91
05-04-2017,1,68,GUJARAT,WEST,8
05-04-2017,1,69,TAMIL NADU,SOUTH,0
05-04-2017,1,70,MAHARASHTRA,WEST,8
05-04-2017,1,72,PUNJAB,NORTH,17
05-04-2017,1,73,PUNJAB,NORTH,12
05-04-2017,1,74,MAHARASHTRA,WEST,33
05-04-2017,1,76,TAMIL NADU,SOUTH,5
05-04-2017,1,77,MAHARASHTRA,WEST,10
05-04-2017,1,78,MAHARASHTRA,WEST,9
05-04-2017,1,79,UTTARAKHAND,EAST,18
05-04-2017,1,82,KERALA,SOUTH,12
05-04-2017,1,84,CHHATTISGARH,CENTRAL,0
05-04-2017,1,85,MAHARASHTRA,WEST,29
05-04-2017,1,100,UTTAR PRADESH,EAST,0
05-04-2017,1,101,UTTAR PRADESH,EAST,0
05-04-2017,1,103,BIHAR,EAST,19
05-04-2017,1,104,JHARKHAND,SOUTH,7
05-04-2017,1,105,GUJARAT,WEST,7
05-04-2017,1,111,ANDHRA PRADESH,SOUTH,0
05-04-2017,1,117,MAHARASHTRA,WEST,0
05-04-2017,1,120,TRIPURA,EAST,21
05-04-2017,1,121,KARNATAKA,SOUTH,0
05-04-2017,1,135,MAHARASHTRA,WEST,89
05-04-2017,1,136,TAMIL NADU,SOUTH,44
05-04-2017,1,137,MAHARASHTRA,WEST,26
05-04-2017,1,147,MADHYA PRADESH,CENTRAL,21
05-04-2017,1,159,BIHAR,EAST,0
05-04-2017,1,165,ORISSA,EAST,6
05-04-2017,1,202,UTTARAKHAND,EAST,0
05-04-2017,1,207,GUJARAT,WEST,0
05-04-2017,1,217,BIHAR,EAST,0
05-04-2017,1,248,MAHARASHTRA,WEST,0
05-04-2017,1,249,MAHARASHTRA,WEST,0
05-04-2017,1,250,GUJARAT,WEST,0
05-04-2017,1,251,TRIPURA,EAST,0
05-04-2017,1,254,ASSAM,EAST,0
05-04-2017,1,255,ASSAM,EAST,0
05-04-2017,1,257,GUJARAT,WEST,0
05-04-2017,1,258,HARYANA,NORTH,0
05-04-2017,1,259,HARYANA,NORTH,0
05-04-2017,1,260,TAMIL NADU,SOUTH,0
05-04-2017,1,261,HARYANA,NORTH,0
05-04-2017,1,262,UTTAR PRADESH,EAST,0
05-04-2017,1,263,ANDHRA PRADESH,SOUTH,0
05-04-2017,1,264,PUNJAB,NORTH,0
05-04-2017,1,265,ANDHRA PRADESH,SOUTH,0
05-04-2017,1,266,TELANGANA,SOUTH,0
05-04-2017,1,267,ANDHRA PRADESH,SOUTH,0
05-04-2017,1,268,UTTAR PRADESH,EAST,0
05-04-2017,1,269,UTTAR PRADESH,EAST,0
05-04-2017,1,270,UTTAR PRADESH,EAST,0
05-04-2017,1,271,HARYANA,NORTH,0
07-04-2017,1,1,WEST BENGAL,EAST,76
07-04-2017,1,3,DELHI,NORTH,74
07-04-2017,1,5,KARNATAKA,SOUTH,102
07-04-2017,1,7,WEST BENGAL,EAST,24
07-04-2017,1,8,WEST BENGAL,EAST,28
07-04-2017,1,9,WEST BENGAL,EAST,27
07-04-2017,1,10,WEST BENGAL,EAST,29
07-04-2017,1,11,WEST BENGAL,EAST,22
07-04-2017,1,13,TAMIL NADU,SOUTH,10
07-04-2017,1,14,UTTAR PRADESH,EAST,0
07-04-2017,1,15,PUNJAB,NORTH,8
07-04-2017,1,16,TELANGANA,SOUTH,23
07-04-2017,1,17,ANDHRA PRADESH,SOUTH,5
07-04-2017,1,18,MAHARASHTRA,WEST,44
07-04-2017,1,19,MAHARASHTRA,WEST,73
07-04-2017,1,20,ORISSA,SOUTH,48
07-04-2017,1,21,MAHARASHTRA,WEST,0
07-04-2017,1,29,WEST BENGAL,EAST,10
07-04-2017,1,34,GUJARAT,WEST,107
07-04-2017,1,35,TAMIL NADU,SOUTH,0
07-04-2017,1,36,ASSAM,EAST,47
07-04-2017,1,42,WEST BENGAL,EAST,15
07-04-2017,1,43,TAMIL NADU,SOUTH,0
07-04-2017,1,48,ORISSA,SOUTH,26
07-04-2017,1,61,GUJARAT,WEST,33
07-04-2017,1,62,PUNJAB,NORTH,2
07-04-2017,1,63,JHARKHAND,SOUTH,17
07-04-2017,1,64,KARNATAKA,SOUTH,20
07-04-2017,1,65,ASSAM,EAST,35
07-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
07-04-2017,1,67,GUJARAT,WEST,103
07-04-2017,1,68,GUJARAT,WEST,5
07-04-2017,1,69,TAMIL NADU,SOUTH,0
07-04-2017,1,70,MAHARASHTRA,WEST,11
07-04-2017,1,72,PUNJAB,NORTH,3
07-04-2017,1,73,PUNJAB,NORTH,8
07-04-2017,1,74,MAHARASHTRA,WEST,24
07-04-2017,1,76,TAMIL NADU,SOUTH,7
07-04-2017,1,77,MAHARASHTRA,WEST,10
07-04-2017,1,78,MAHARASHTRA,WEST,11
07-04-2017,1,79,UTTARAKHAND,EAST,18
07-04-2017,1,82,KERALA,SOUTH,10
07-04-2017,1,84,CHHATTISGARH,CENTRAL,0
07-04-2017,1,85,MAHARASHTRA,WEST,9
07-04-2017,1,100,UTTAR PRADESH,EAST,0
07-04-2017,1,101,UTTAR PRADESH,EAST,0
07-04-2017,1,103,BIHAR,EAST,15
07-04-2017,1,104,JHARKHAND,SOUTH,10
07-04-2017,1,105,GUJARAT,WEST,9
07-04-2017,1,111,ANDHRA PRADESH,SOUTH,0
07-04-2017,1,117,MAHARASHTRA,WEST,0
07-04-2017,1,120,TRIPURA,EAST,13
07-04-2017,1,121,KARNATAKA,SOUTH,0
07-04-2017,1,135,MAHARASHTRA,WEST,66
07-04-2017,1,136,TAMIL NADU,SOUTH,36
07-04-2017,1,137,MAHARASHTRA,WEST,33
07-04-2017,1,147,MADHYA PRADESH,CENTRAL,31
07-04-2017,1,159,BIHAR,EAST,0
07-04-2017,1,165,ORISSA,EAST,4
07-04-2017,1,202,UTTARAKHAND,EAST,0
07-04-2017,1,207,GUJARAT,WEST,0
07-04-2017,1,217,BIHAR,EAST,0
07-04-2017,1,248,MAHARASHTRA,WEST,0
07-04-2017,1,249,MAHARASHTRA,WEST,0
07-04-2017,1,250,GUJARAT,WEST,0
07-04-2017,1,251,TRIPURA,EAST,0
07-04-2017,1,254,ASSAM,EAST,0
07-04-2017,1,255,ASSAM,EAST,0
07-04-2017,1,257,GUJARAT,WEST,0
07-04-2017,1,258,HARYANA,NORTH,0
07-04-2017,1,259,HARYANA,NORTH,0
07-04-2017,1,260,TAMIL NADU,SOUTH,0
07-04-2017,1,261,HARYANA,NORTH,0
07-04-2017,1,262,UTTAR PRADESH,EAST,0
07-04-2017,1,263,ANDHRA PRADESH,SOUTH,0
07-04-2017,1,264,PUNJAB,NORTH,0
07-04-2017,1,265,ANDHRA PRADESH,SOUTH,0
07-04-2017,1,266,TELANGANA,SOUTH,0
07-04-2017,1,267,ANDHRA PRADESH,SOUTH,0
07-04-2017,1,268,UTTAR PRADESH,EAST,0
07-04-2017,1,269,UTTAR PRADESH,EAST,0
07-04-2017,1,270,UTTAR PRADESH,EAST,0
07-04-2017,1,271,HARYANA,NORTH,0
12-04-2017,1,1,WEST BENGAL,EAST,123
12-04-2017,1,3,DELHI,NORTH,57
12-04-2017,1,5,KARNATAKA,SOUTH,104
12-04-2017,1,7,WEST BENGAL,EAST,34
12-04-2017,1,8,WEST BENGAL,EAST,19
12-04-2017,1,9,WEST BENGAL,EAST,25
12-04-2017,1,10,WEST BENGAL,EAST,37
12-04-2017,1,11,WEST BENGAL,EAST,23
12-04-2017,1,13,TAMIL NADU,SOUTH,20
12-04-2017,1,14,UTTAR PRADESH,EAST,0
12-04-2017,1,15,PUNJAB,NORTH,8
12-04-2017,1,16,TELANGANA,SOUTH,73
12-04-2017,1,17,ANDHRA PRADESH,SOUTH,12
12-04-2017,1,18,MAHARASHTRA,WEST,34
12-04-2017,1,19,MAHARASHTRA,WEST,72
12-04-2017,1,20,ORISSA,SOUTH,50
12-04-2017,1,21,MAHARASHTRA,WEST,0
12-04-2017,1,29,WEST BENGAL,EAST,11
12-04-2017,1,34,GUJARAT,WEST,88
12-04-2017,1,35,TAMIL NADU,SOUTH,0
12-04-2017,1,36,ASSAM,EAST,68
12-04-2017,1,42,WEST BENGAL,EAST,13
12-04-2017,1,43,TAMIL NADU,SOUTH,0
12-04-2017,1,48,ORISSA,SOUTH,39
12-04-2017,1,61,GUJARAT,WEST,26
12-04-2017,1,62,PUNJAB,NORTH,11
12-04-2017,1,63,JHARKHAND,SOUTH,9
12-04-2017,1,64,KARNATAKA,SOUTH,21
12-04-2017,1,65,ASSAM,EAST,71
12-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
12-04-2017,1,67,GUJARAT,WEST,68
12-04-2017,1,68,GUJARAT,WEST,1
12-04-2017,1,69,TAMIL NADU,SOUTH,0
12-04-2017,1,70,MAHARASHTRA,WEST,10
12-04-2017,1,72,PUNJAB,NORTH,17
12-04-2017,1,73,PUNJAB,NORTH,13
12-04-2017,1,74,MAHARASHTRA,WEST,19
12-04-2017,1,76,TAMIL NADU,SOUTH,4
12-04-2017,1,77,MAHARASHTRA,WEST,12
12-04-2017,1,78,MAHARASHTRA,WEST,15
12-04-2017,1,79,UTTARAKHAND,EAST,17
12-04-2017,1,82,KERALA,SOUTH,9
12-04-2017,1,84,CHHATTISGARH,CENTRAL,0
12-04-2017,1,85,MAHARASHTRA,WEST,17
12-04-2017,1,100,UTTAR PRADESH,EAST,0
12-04-2017,1,101,UTTAR PRADESH,EAST,0
12-04-2017,1,103,BIHAR,EAST,19
12-04-2017,1,104,JHARKHAND,SOUTH,7
12-04-2017,1,105,GUJARAT,WEST,6
12-04-2017,1,111,ANDHRA PRADESH,SOUTH,0
12-04-2017,1,117,MAHARASHTRA,WEST,0
12-04-2017,1,120,TRIPURA,EAST,13
12-04-2017,1,121,KARNATAKA,SOUTH,0
12-04-2017,1,135,MAHARASHTRA,WEST,82
12-04-2017,1,136,TAMIL NADU,SOUTH,35
12-04-2017,1,137,MAHARASHTRA,WEST,29
12-04-2017,1,147,MADHYA PRADESH,CENTRAL,20
12-04-2017,1,159,BIHAR,EAST,0
12-04-2017,1,165,ORISSA,EAST,7
12-04-2017,1,202,UTTARAKHAND,EAST,0
12-04-2017,1,207,GUJARAT,WEST,0
12-04-2017,1,217,BIHAR,EAST,0
12-04-2017,1,248,MAHARASHTRA,WEST,0
12-04-2017,1,249,MAHARASHTRA,WEST,0
12-04-2017,1,250,GUJARAT,WEST,0
12-04-2017,1,251,TRIPURA,EAST,0
12-04-2017,1,254,ASSAM,EAST,0
12-04-2017,1,255,ASSAM,EAST,0
12-04-2017,1,257,GUJARAT,WEST,0
12-04-2017,1,258,HARYANA,NORTH,0
12-04-2017,1,259,HARYANA,NORTH,0
12-04-2017,1,260,TAMIL NADU,SOUTH,0
12-04-2017,1,261,HARYANA,NORTH,0
12-04-2017,1,262,UTTAR PRADESH,EAST,0
12-04-2017,1,263,ANDHRA PRADESH,SOUTH,0
12-04-2017,1,264,PUNJAB,NORTH,0
12-04-2017,1,265,ANDHRA PRADESH,SOUTH,0
12-04-2017,1,266,TELANGANA,SOUTH,0
12-04-2017,1,267,ANDHRA PRADESH,SOUTH,0
12-04-2017,1,268,UTTAR PRADESH,EAST,0
12-04-2017,1,269,UTTAR PRADESH,EAST,0
12-04-2017,1,270,UTTAR PRADESH,EAST,0
12-04-2017,1,271,HARYANA,NORTH,0
13-04-2017,1,1,WEST BENGAL,EAST,81
13-04-2017,1,3,DELHI,NORTH,56
13-04-2017,1,5,KARNATAKA,SOUTH,117
13-04-2017,1,7,WEST BENGAL,EAST,27
13-04-2017,1,8,WEST BENGAL,EAST,23
13-04-2017,1,9,WEST BENGAL,EAST,18
13-04-2017,1,10,WEST BENGAL,EAST,32
13-04-2017,1,11,WEST BENGAL,EAST,18
13-04-2017,1,13,TAMIL NADU,SOUTH,20
13-04-2017,1,14,UTTAR PRADESH,EAST,0
13-04-2017,1,15,PUNJAB,NORTH,20
13-04-2017,1,16,TELANGANA,SOUTH,59
13-04-2017,1,17,ANDHRA PRADESH,SOUTH,12
13-04-2017,1,18,MAHARASHTRA,WEST,28
13-04-2017,1,19,MAHARASHTRA,WEST,99
13-04-2017,1,20,ORISSA,SOUTH,39
13-04-2017,1,21,MAHARASHTRA,WEST,0
13-04-2017,1,29,WEST BENGAL,EAST,12
13-04-2017,1,34,GUJARAT,WEST,72
13-04-2017,1,35,TAMIL NADU,SOUTH,0
13-04-2017,1,36,ASSAM,EAST,73
13-04-2017,1,42,WEST BENGAL,EAST,9
13-04-2017,1,43,TAMIL NADU,SOUTH,0
13-04-2017,1,48,ORISSA,SOUTH,24
13-04-2017,1,61,GUJARAT,WEST,23
13-04-2017,1,62,PUNJAB,NORTH,5
13-04-2017,1,63,JHARKHAND,SOUTH,7
13-04-2017,1,64,KARNATAKA,SOUTH,12
13-04-2017,1,65,ASSAM,EAST,76
13-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
13-04-2017,1,67,GUJARAT,WEST,97
13-04-2017,1,68,GUJARAT,WEST,4
13-04-2017,1,69,TAMIL NADU,SOUTH,0
